14,144,144
131,226,202
117,56,59
171,196,181
136,177,19
185,46,116
169,94,38
179,22,64
24,141,90
128,174,39
77,128,213
79,234,15
25,208,199
212,168,37
191,1,183
217,218,143
96,194,240
88,59,227
176,65,237
174,144,105
78,237,202
151,151,36
216,42,223
2,35,190
58,135,222
227,43,137
238,145,245
142,230,177
83,124,59
9,16,141
132,28,202
121,192,187
173,232,71
244,225,65
115,160,36
126,125,106
157,17,28
17,200,56
7,116,145
139,251,142
30,100,153
84,243,193
118,242,135
3,30,52
161,69,10
215,246,236
66,136,66
7,154,185
76,245,110
117,106,4
60,176,39
82,167,149
246,11,42
242,53,238
196,95,115
104,74,56
20,194,76
132,205,34
129,226,80
175,95,134
241,166,33
192,183,219
150,222,243
186,182,105
196,105,45
49,248,10
229,219,39
124,62,30
251,25,206
235,144,244
39,115,50
242,210,70
155,35,115
163,222,129
137,97,181
41,169,192
47,222,18
247,125,53
169,183,221
135,242,252
9,51,251
219,10,5
69,244,19
131,223,172
6,134,243
53,90,237
166,47,169
64,154,186
192,51,47
229,62,225
230,87,87
238,32,95
229,31,236
171,89,114
214,176,157
146,203,93
139,102,109
198,118,149
229,110,183
163,145,200
